Дата;Название;Валюта;Цена
05.10.2021,JetBlue Airways Corp (JBLU),$,16.12
04.10.2021,JetBlue Airways Corp (JBLU),$,16.17
01.10.2021,JetBlue Airways Corp (JBLU),$,16.31
30.09.2021,JetBlue Airways Corp (JBLU),$,15.29
29.09.2021,JetBlue Airways Corp (JBLU),$,15.67
28.09.2021,JetBlue Airways Corp (JBLU),$,15.96
27.09.2021,JetBlue Airways Corp (JBLU),$,16.13
24.09.2021,JetBlue Airways Corp (JBLU),$,16.05
23.09.2021,JetBlue Airways Corp (JBLU),$,15.73
22.09.2021,JetBlue Airways Corp (JBLU),$,15.18
21.09.2021,JetBlue Airways Corp (JBLU),$,14.76
20.09.2021,JetBlue Airways Corp (JBLU),$,15.51
17.09.2021,JetBlue Airways Corp (JBLU),$,15.22
16.09.2021,JetBlue Airways Corp (JBLU),$,15.23
15.09.2021,JetBlue Airways Corp (JBLU),$,14.96
14.09.2021,JetBlue Airways Corp (JBLU),$,14.86
13.09.2021,JetBlue Airways Corp (JBLU),$,15.04
10.09.2021,JetBlue Airways Corp (JBLU),$,14.68
09.09.2021,JetBlue Airways Corp (JBLU),$,15.3
08.09.2021,JetBlue Airways Corp (JBLU),$,14.71
07.09.2021,JetBlue Airways Corp (JBLU),$,15
03.09.2021,JetBlue Airways Corp (JBLU),$,14.94
02.09.2021,JetBlue Airways Corp (JBLU),$,15.2
01.09.2021,JetBlue Airways Corp (JBLU),$,15.09
31.08.2021,JetBlue Airways Corp (JBLU),$,15.13
30.08.2021,JetBlue Airways Corp (JBLU),$,14.93
27.08.2021,JetBlue Airways Corp (JBLU),$,15.42
26.08.2021,JetBlue Airways Corp (JBLU),$,15.17
25.08.2021,JetBlue Airways Corp (JBLU),$,15.37
24.08.2021,JetBlue Airways Corp (JBLU),$,15.27
23.08.2021,JetBlue Airways Corp (JBLU),$,14.72
20.08.2021,JetBlue Airways Corp (JBLU),$,14.16
19.08.2021,JetBlue Airways Corp (JBLU),$,14.11
18.08.2021,JetBlue Airways Corp (JBLU),$,14.53
17.08.2021,JetBlue Airways Corp (JBLU),$,14.76
